index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
3312;Isola del Gran Sasso d'Italia;Abruzzo;4428;42.48599049663244;13.638137381345691;Isola del Gran Sasso d'Italia, Abruzzo;;False
3352;L'Aquila;Abruzzo;70421;42.39338796519902;13.424911230496445;L'Aquila, Abruzzo;;True
3390;Lama dei Peligni;Abruzzo;1021;42.05156282096264;14.1809977737719;Lama dei Peligni, Abruzzo;;False
3399;Lanciano;Abruzzo;33900;42.2079358790394;14.400228307248364;Lanciano, Abruzzo;;False
3451;Lecce nei Marsi;Abruzzo;1505;41.894131603314726;13.686088038311896;Lecce nei Marsi, Abruzzo;;False
3470;Lentella;Abruzzo;643;41.997453766735006;14.688564951593774;Lentella, Abruzzo;;False
3492;Lettomanoppello;Abruzzo;2626;42.22735382072653;14.051631426570593;Lettomanoppello, Abruzzo;;False
3493;Lettopalena;Abruzzo;306;41.99878400347303;14.162085888017314;Lettopalena, Abruzzo;;False
3528;Liscia;Abruzzo;643;41.95326708055701;14.552495800600576;Liscia, Abruzzo;;False
3588;Loreto Aprutino;Abruzzo;7024;42.411551402603614;13.974413253377111;Loreto Aprutino, Abruzzo;;False
3610;Luco dei Marsi;Abruzzo;5888;41.955048993952886;13.477115900488918;Luco dei Marsi, Abruzzo;;False
3611;Lucoli;Abruzzo;842;42.25095798206074;13.3723983213674;Lucoli, Abruzzo;;False
3678;Magliano de' Marsi;Abruzzo;3445;42.12640299062517;13.337090297681511;Magliano de' Marsi, Abruzzo;;False
3744;Manoppello;Abruzzo;6751;42.27980609197023;14.065119205094984;Manoppello, Abruzzo;;False
3824;Martinsicuro;Abruzzo;16416;42.86630986365705;13.911371255644989;Martinsicuro, Abruzzo;;False
3853;Massa d'Albe;Abruzzo;1328;42.12107127804512;13.422404883783038;Massa d'Albe, Abruzzo;;False
3981;Miglianico;Abruzzo;4591;42.35769172630112;14.28580805158293;Miglianico, Abruzzo;;False
4049;Molina Aterno;Abruzzo;334;42.15000682547612;13.7480897341961;Molina Aterno, Abruzzo;;False
4161;Montazzoli;Abruzzo;794;41.95870573382825;14.4318756434587;Montazzoli, Abruzzo;;False
4195;Montebello di Bertona;Abruzzo;825;42.417735016905;13.861781409531684;Montebello di Bertona, Abruzzo;;False
4197;Montebello sul Sangro;Abruzzo;81;41.98660076812973;14.322923245637348;Montebello sul Sangro, Abruzzo;;False
4237;Monteferrante;Abruzzo;102;41.93824329209008;14.387758450460987;Monteferrante, Abruzzo;;False
4239;Montefino;Abruzzo;923;42.55631530258824;13.892423908071189;Montefino, Abruzzo;;False
4267;Montelapiano;Abruzzo;67;41.967829767868906;14.330876097856526;Montelapiano, Abruzzo;;False
4302;Montenerodomo;Abruzzo;574;41.97166208105643;14.234929817912317;Montenerodomo, Abruzzo;;False
4303;Monteodorisio;Abruzzo;2341;42.09442911099429;14.650237786549576;Monteodorisio, Abruzzo;;False
4309;Montereale;Abruzzo;2181;42.5301537864011;13.228034240661872;Montereale, Abruzzo;;False
4334;Montesilvano;Abruzzo;53556;42.49337919442796;14.141828690700857;Montesilvano, Abruzzo;;False
4366;Montorio al Vomano;Abruzzo;7383;42.585410962505335;13.628746058898043;Montorio al Vomano, Abruzzo;;False
4404;Morino;Abruzzo;1277;41.842695055779046;13.442893285945551;Morino, Abruzzo;;False
4416;Morro d'Oro;Abruzzo;3554;42.65619911938618;13.9343279614285;Morro d'Oro, Abruzzo;;False
4428;Mosciano Sant'Angelo;Abruzzo;9207;42.7419451318648;13.887711324075276;Mosciano Sant'Angelo, Abruzzo;;False
4429;Moscufo;Abruzzo;3137;42.43206505178519;14.0670427449361;Moscufo, Abruzzo;;False
4446;Mozzagrogna;Abruzzo;2438;42.197410369054055;14.449775950343993;Mozzagrogna, Abruzzo;;False
4491;Navelli;Abruzzo;567;42.23756105144221;13.731947508085568;Navelli, Abruzzo;;False
4504;Nereto;Abruzzo;5380;42.8180909778549;13.81206529789633;Nereto, Abruzzo;;False
4533;Nocciano;Abruzzo;1699;42.339256351004266;13.998041063657343;Nocciano, Abruzzo;;False
4560;Notaresco;Abruzzo;6324;42.66069007746671;13.886229714532996;Notaresco, Abruzzo;;False
