index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
181;Leeuwarden;Friesland;108113.0;53.201233;5.799913;Leeuwarden, Friesland;;True
182;Leiden;Zuid-Holland;121199.0;52.160114;4.49701;Leiden, Zuid-Holland;;False
183;Leiderdorp;Zuid-Holland;26788.0;52.150985;4.528173;Leiderdorp, Zuid-Holland;;False
184;Leidschendam-Voorburg;Zuid-Holland;73392.0;52.087731;4.399385;Leidschendam-Voorburg, Zuid-Holland;;False
185;Lelystad;Flevoland;76170.0;52.518537;5.471422;Lelystad, Flevoland;;True
186;Leudal;Limburg;36213.0;51.261966;5.890997;Leudal, Limburg;;False
187;Leusden;Utrecht;28967.0;52.131793;5.429469;Leusden, Utrecht;;False
188;Lingewaal;Gelderland;11059.0;51.838089;5.076384;Lingewaal, Gelderland;;False
189;Lingewaard;Gelderland;45814.0;51.903891;5.935221;Lingewaard, Gelderland;;False
190;Lisse;Zuid-Holland;22376.0;52.25793;4.557483;Lisse, Zuid-Holland;;False
191;Lochem;Gelderland;33268.0;52.158665;6.409816;Lochem, Gelderland;;False
192;Loon op Zand;Noord-Brabant;23104.0;51.627014;5.072009;Loon op Zand, Noord-Brabant;;False
193;Lopik;Utrecht;14000.0;51.974861;4.945148;Lopik, Utrecht;;False
194;Loppersum;Groningen;10181.0;53.332175;6.747987;Loppersum, Groningen;;False
195;Losser;Overijssel;22619.0;52.262852;7.005785;Losser, Overijssel;;False
196;Maasdriel;Gelderland;24197.0;51.768907;5.323304;Maasdriel, Gelderland;;False
197;Maasgouw;Limburg;23888.0;51.167805;5.88414;Maasgouw, Limburg;;False
198;Maassluis;Zuid-Holland;32097.0;51.922607;4.254566;Maassluis, Zuid-Holland;;False
199;Maastricht;Limburg;122331.0;50.851368;5.690973;Maastricht, Limburg;;True
200;Marum;Groningen;10350.0;53.146252;6.267326;Marum, Groningen;;False
201;Medemblik;Noord-Holland;43331.0;52.767447;5.106918;Medemblik, Noord-Holland;;False
202;Meerssen;Limburg;19259.0;50.884943;5.752637;Meerssen, Limburg;;False
203;Meierijstad;Noord-Brabant;;51.613704;5.548213;Meierijstad, Noord-Brabant;;False
204;Meppel;Drenthe;32875.0;52.692123;6.193719;Meppel, Drenthe;;False
205;Middelburg;Zeeland;47660.0;51.498796;3.610998;Middelburg, Zeeland;;True
206;Midden-Delfland;Zuid-Holland;18449.0;51.954201;4.28831;Midden-Delfland, Zuid-Holland;;False
207;Midden-Drenthe;Drenthe;33368.0;52.861104;6.512304;Midden-Drenthe, Drenthe;;False
208;Midden-Groningen;Groningen;;53.214825;6.503424;Midden-Groningen, Groningen;;False
209;Mill en Sint Hubert;Noord-Brabant;10843.0;51.679806;5.755381;Mill en Sint Hubert, Noord-Brabant;;False
210;Moerdijk;Noord-Brabant;36775.0;51.660156;4.513072;Moerdijk, Noord-Brabant;;False
211;Molenwaard;Zuid-Holland;29043.0;51.89213;4.79834;Molenwaard, Zuid-Holland;;False
212;Montferland;Gelderland;34985.0;51.919617;6.246311;Montferland, Gelderland;;False
213;Montfoort;Utrecht;13639.0;52.036213;4.951859;Montfoort, Utrecht;;False
